['LR', 'KNN', 'SGD', 'MLP'];0.03;0.06;0.18;0.33
['LR', 'KNN', 'SGD', 'EXTRA'];0.01;nan;-0.07;0.32
['LR', 'KNN', 'SVC', 'MLP'];0.04;0.24;0.52;0.17
['LR', 'KNN', 'SVC', 'EXTRA'];0.03;nan;0.43;0.12
['LR', 'KNN', 'MLP', 'EXTRA'];0.01;nan;0.26;0.14
['LR', 'SGD', 'SVC', 'MLP'];0.05;0.03;-0.07;0.37
['LR', 'SGD', 'SVC', 'EXTRA'];0.02;nan;-0.15;0.36
['LR', 'SGD', 'MLP', 'EXTRA'];0.02;nan;-0.03;0.33
['LR', 'SVC', 'MLP', 'EXTRA'];0.03;nan;0.12;0.17
['CART', 'NAIVE', 'KNN', 'SGD'];0.09;nan;0.06;0.33
['CART', 'NAIVE', 'KNN', 'SVC'];0.01;nan;-0.08;0.34
['CART', 'NAIVE', 'KNN', 'MLP'];0.02;nan;0.22;0.28
['CART', 'NAIVE', 'KNN', 'EXTRA'];0.0;nan;-0.05;0.26
['CART', 'NAIVE', 'SGD', 'SVC'];0.08;nan;-0.17;0.41
['CART', 'NAIVE', 'SGD', 'MLP'];0.12;nan;0.43;0.31
['CART', 'NAIVE', 'SGD', 'EXTRA'];0.08;nan;0.17;0.32
['CART', 'NAIVE', 'SVC', 'MLP'];0.02;nan;-0.07;0.35
['CART', 'NAIVE', 'SVC', 'EXTRA'];0.0;nan;-0.17;0.33
['CART', 'NAIVE', 'MLP', 'EXTRA'];0.02;nan;0.13;0.27
['CART', 'KNN', 'SGD', 'SVC'];0.01;nan;-0.08;0.34
['CART', 'KNN', 'SGD', 'MLP'];0.02;nan;0.22;0.28
['CART', 'KNN', 'SGD', 'EXTRA'];0.0;nan;-0.05;0.26
['CART', 'KNN', 'SVC', 'MLP'];0.01;nan;0.24;0.15
['CART', 'KNN', 'SVC', 'EXTRA'];0.0;nan;0.14;0.1
['CART', 'KNN', 'MLP', 'EXTRA'];0.0;nan;0.14;0.08
['CART', 'SGD', 'SVC', 'MLP'];0.02;nan;-0.07;0.35
['CART', 'SGD', 'SVC', 'EXTRA'];0.0;nan;-0.17;0.33
['CART', 'SGD', 'MLP', 'EXTRA'];0.02;nan;0.13;0.27
['CART', 'SVC', 'MLP', 'EXTRA'];0.0;nan;-0.04;0.15
['NAIVE', 'KNN', 'SGD', 'SVC'];0.09;0.04;-0.14;0.42
['NAIVE', 'KNN', 'SGD', 'MLP'];0.13;0.29;0.46;0.32
['NAIVE', 'KNN', 'SGD', 'EXTRA'];0.09;nan;0.06;0.33
['NAIVE', 'KNN', 'SVC', 'MLP'];0.03;0.04;0.15;0.35
['NAIVE', 'KNN', 'SVC', 'EXTRA'];0.01;nan;-0.08;0.34
['NAIVE', 'KNN', 'MLP', 'EXTRA'];0.02;nan;0.22;0.28
['NAIVE', 'SGD', 'SVC', 'MLP'];0.12;0.1;0.06;0.4
['NAIVE', 'SGD', 'SVC', 'EXTRA'];0.08;nan;-0.17;0.41
['NAIVE', 'SGD', 'MLP', 'EXTRA'];0.12;nan;0.43;0.31
['NAIVE', 'SVC', 'MLP', 'EXTRA'];0.02;nan;-0.07;0.35
['KNN', 'SGD', 'SVC', 'MLP'];0.03;0.04;0.15;0.35
['KNN', 'SGD', 'SVC', 'EXTRA'];0.01;nan;-0.08;0.34
['KNN', 'SGD', 'MLP', 'EXTRA'];0.02;nan;0.22;0.28
['KNN', 'SVC', 'MLP', 'EXTRA'];0.01;nan;0.24;0.15
['SGD', 'SVC', 'MLP', 'EXTRA'];0.02;nan;-0.07;0.35
['LR', 'CART', 'NAIVE', 'KNN', 'SGD'];0.05;nan;-0.07;0.35
['LR', 'CART', 'NAIVE', 'KNN', 'SVC'];0.02;nan;0.04;0.3
['LR', 'CART', 'NAIVE', 'KNN', 'MLP'];0.02;nan;0.11;0.28
['LR', 'CART', 'NAIVE', 'KNN', 'EXTRA'];0.0;nan;-0.04;0.26
['LR', 'CART', 'NAIVE', 'SGD', 'SVC'];0.06;nan;-0.18;0.39
['LR', 'CART', 'NAIVE', 'SGD', 'MLP'];0.07;nan;0.07;0.35
['LR', 'CART', 'NAIVE', 'SGD', 'EXTRA'];0.05;nan;-0.08;0.35
['LR', 'CART', 'NAIVE', 'SVC', 'MLP'];0.03;nan;-0.04;0.32
['LR', 'CART', 'NAIVE', 'SVC', 'EXTRA'];0.01;nan;-0.09;0.3
['LR', 'CART', 'NAIVE', 'MLP', 'EXTRA'];0.01;nan;-0.02;0.28
['LR', 'CART', 'KNN', 'SGD', 'SVC'];0.02;nan;0.04;0.3
['LR', 'CART', 'KNN', 'SGD', 'MLP'];0.02;nan;0.11;0.28
['LR', 'CART', 'KNN', 'SGD', 'EXTRA'];0.0;nan;-0.04;0.26
['LR', 'CART', 'KNN', 'SVC', 'MLP'];0.02;nan;0.31;0.15
['LR', 'CART', 'KNN', 'SVC', 'EXTRA'];0.02;nan;0.26;0.11
['LR', 'CART', 'KNN', 'MLP', 'EXTRA'];0.01;nan;0.15;0.11
['LR', 'CART', 'SGD', 'SVC', 'MLP'];0.03;nan;-0.04;0.32
['LR', 'CART', 'SGD', 'SVC', 'EXTRA'];0.01;nan;-0.09;0.3
['LR', 'CART', 'SGD', 'MLP', 'EXTRA'];0.01;nan;-0.02;0.28
['LR', 'CART', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.07;0.15
['LR', 'NAIVE', 'KNN', 'SGD', 'SVC'];0.07;0.05;-0.09;0.39
['LR', 'NAIVE', 'KNN', 'SGD', 'MLP'];0.08;0.12;0.17;0.35
['LR', 'NAIVE', 'KNN', 'SGD', 'EXTRA'];0.05;nan;-0.07;0.35
['LR', 'NAIVE', 'KNN', 'SVC', 'MLP'];0.04;0.09;0.17;0.32
['LR', 'NAIVE', 'KNN', 'SVC', 'EXTRA'];0.02;nan;0.04;0.3
['LR', 'NAIVE', 'KNN', 'MLP', 'EXTRA'];0.02;nan;0.11;0.28
['LR', 'NAIVE', 'SGD', 'SVC', 'MLP'];0.09;0.07;-0.05;0.39
['LR', 'NAIVE', 'SGD', 'SVC', 'EXTRA'];0.06;nan;-0.18;0.39
['LR', 'NAIVE', 'SGD', 'MLP', 'EXTRA'];0.07;nan;0.07;0.35
['LR', 'NAIVE', 'SVC', 'MLP', 'EXTRA'];0.03;nan;-0.04;0.32
['LR', 'KNN', 'SGD', 'SVC', 'MLP'];0.04;0.09;0.17;0.32
['LR', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.02;nan;0.04;0.3
['LR', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.02;nan;0.11;0.28
['LR', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.31;0.15
['LR', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.03;nan;-0.04;0.32
['CART', 'NAIVE', 'KNN', 'SGD', 'SVC'];0.05;nan;-0.08;0.37
['CART', 'NAIVE', 'KNN', 'SGD', 'MLP'];0.08;nan;0.28;0.3
['CART', 'NAIVE', 'KNN', 'SGD', 'EXTRA'];0.05;nan;0.04;0.3
['CART', 'NAIVE', 'KNN', 'SVC', 'MLP'];0.02;nan;0.09;0.3
['CART', 'NAIVE', 'KNN', 'SVC', 'EXTRA'];0.0;nan;-0.05;0.27
['CART', 'NAIVE', 'KNN', 'MLP', 'EXTRA'];0.01;nan;0.13;0.23
['CART', 'NAIVE', 'SGD', 'SVC', 'MLP'];0.07;nan;0.04;0.37
['CART', 'NAIVE', 'SGD', 'SVC', 'EXTRA'];0.05;nan;-0.1;0.36
['CART', 'NAIVE', 'SGD', 'MLP', 'EXTRA'];0.07;nan;0.26;0.3
['CART', 'NAIVE', 'SVC', 'MLP', 'EXTRA'];0.01;nan;-0.04;0.29
['CART', 'KNN', 'SGD', 'SVC', 'MLP'];0.02;nan;0.09;0.3
['CART', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.0;nan;-0.05;0.27
['CART', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.01;nan;0.13;0.23
['CART', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.01;nan;0.14;0.13
['CART', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.01;nan;-0.04;0.29
['NAIVE', 'KNN', 'SGD', 'SVC', 'MLP'];0.08;0.1;0.14;0.37
['NAIVE', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.05;nan;-0.08;0.37
['NAIVE', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.08;nan;0.28;0.3
['NAIVE', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.09;0.3
['NAIVE', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.07;nan;0.04;0.37
['KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.09;0.3
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'SVC'];0.05;nan;-0.06;0.35
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'MLP'];0.05;nan;0.11;0.32
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'EXTRA'];0.04;nan;-0.04;0.31
['LR', 'CART', 'NAIVE', 'KNN', 'SVC', 'MLP'];0.02;nan;0.11;0.28
['LR', 'CART', 'NAIVE', 'KNN', 'SVC', 'EXTRA'];0.01;nan;0.02;0.26
['LR', 'CART', 'NAIVE', 'KNN', 'MLP', 'EXTRA'];0.01;nan;0.07;0.24
['LR', 'CART', 'NAIVE', 'SGD', 'SVC', 'MLP'];0.06;nan;-0.03;0.36
['LR', 'CART', 'NAIVE', 'SGD', 'SVC', 'EXTRA'];0.04;nan;-0.12;0.35
['LR', 'CART', 'NAIVE', 'SGD', 'MLP', 'EXTRA'];0.05;nan;0.05;0.32
['LR', 'CART', 'NAIVE', 'SVC', 'MLP', 'EXTRA'];0.02;nan;-0.03;0.27
['LR', 'CART', 'KNN', 'SGD', 'SVC', 'MLP'];0.02;nan;0.11;0.28
['LR', 'CART', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.01;nan;0.02;0.26
['LR', 'CART', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.01;nan;0.07;0.24
['LR', 'CART', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.21;0.13
['LR', 'CART', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.02;nan;-0.03;0.27
['LR', 'NAIVE', 'KNN', 'SGD', 'SVC', 'MLP'];0.07;0.09;0.08;0.36
['LR', 'NAIVE', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.05;nan;-0.06;0.35
['LR', 'NAIVE', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.05;nan;0.11;0.32
['LR', 'NAIVE', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.11;0.28
['LR', 'NAIVE', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.06;nan;-0.03;0.36
['LR', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.11;0.28
['CART', 'NAIVE', 'KNN', 'SGD', 'SVC', 'MLP'];0.05;nan;0.09;0.33
['CART', 'NAIVE', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.04;nan;-0.05;0.33
['CART', 'NAIVE', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.05;nan;0.19;0.28
['CART', 'NAIVE', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.01;nan;0.06;0.25
['CART', 'NAIVE', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.05;nan;0.03;0.33
['CART', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.01;nan;0.06;0.25
['NAIVE', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.05;nan;0.09;0.33
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'SVC', 'MLP'];0.05;nan;0.06;0.32
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'SVC', 'EXTRA'];0.03;nan;-0.04;0.31
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'MLP', 'EXTRA'];0.04;nan;0.08;0.29
['LR', 'CART', 'NAIVE', 'KNN', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.08;0.24
['LR', 'CART', 'NAIVE', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.04;nan;-0.02;0.32
['LR', 'CART', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.02;nan;0.08;0.24
['LR', 'NAIVE', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.05;nan;0.06;0.32
['CART', 'NAIVE', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.04;nan;0.07;0.3
['LR', 'CART', 'NAIVE', 'KNN', 'SGD', 'SVC', 'MLP', 'EXTRA'];0.03;nan;0.05;0.3
