cusum,nCusum,ShannonEntropy,jensen-shannon,mahalanobis,iqr,mad,class
0.496230842,-11353.59867,3.423652499,0.341970502,112.5477319,0.729406101,0.324557687,1
1.112475591,-10377.00394,3.610399441,0.347457839,39.82191374,0.720250098,0.324227487,1
193.9320484,-9499.04494,3.617551725,0.327833802,56.26443496,0.718296702,0.323670551,1
3708.844554,-14246.63025,3.135731912,0.377868791,176.283991,0.801601035,0.355609568,1
1.436365711,-15001.22909,3.307423498,0.355312218,99.46904769,0.778279171,0.351580415,1
1.178774973,-17566.20427,3.099625831,0.379926419,172.8697326,0.764589729,0.340071512,1
1.377517135,-13632.20785,3.336424677,0.378232137,61.53105577,0.781574102,0.342657,1
85.15312412,-17478.65074,3.107974049,0.473594444,133.3983873,0.768209989,0.339399233,1
1.271522726,-15402.69029,3.268363736,0.261446801,144.1596786,0.773459567,0.349166053,1
501.9036365,-13154.19328,3.499923844,0.258111145,108.097941,0.740582385,0.332787463,1
0.138591394,-13331.81003,3.433829719,0.360708269,123.7036098,0.74369282,0.332511488,1
46.65856102,-12505.37006,3.561041341,0.37533009,56.54011914,0.70743576,0.327094345,1
295.1645893,-11326.15153,3.60314968,0.332912477,62.39479537,0.701367679,0.325339421,1
2268.755187,-15898.53687,3.08291853,0.390385481,171.6301298,0.801406413,0.367430198,1
1.52818065,-16721.81261,3.313021282,0.375038554,104.9179676,0.763522544,0.356052632,1
1.430932771,-19073.45135,3.184305824,0.397791794,171.4985028,0.750845208,0.345995286,1
1.648644178,-15391.80182,3.298417891,0.393307988,69.01618473,0.77219811,0.350871019,1
23.69066698,-19044.83951,3.124530861,0.482999064,135.8014619,0.759286218,0.345624249,1
1.524063029,-17115.49031,3.307754827,0.290936053,146.8813036,0.762144959,0.352903078,1
446.4642616,-15024.36346,3.438058728,0.286023693,113.0169368,0.732903747,0.337157338,1
36.31817815,-15213.50128,3.404686621,0.368344298,136.5862372,0.733608234,0.335813131,1
194.3262,-14153.45032,3.565293623,0.367347834,66.50094167,0.684712185,0.325141614,1
351.6118418,-13223.92834,3.571483054,0.350013318,64.8139472,0.683243877,0.324141336,1
645.0853968,-17618.60011,3.011842676,0.400961427,173.5324977,0.795173557,0.374592995,1
1.793792163,-18496.09147,3.25000719,0.384027305,111.212063,0.74498669,0.357306835,1
1.683372916,-20592.54239,3.170656834,0.413143951,170.9967109,0.736805743,0.347552201,1
1.915662694,-17187.39382,3.279845286,0.408235408,77.18988197,0.760882236,0.355128325,1
1.7257269,-20617.93889,3.125351215,0.498511097,138.5229781,0.741213211,0.347098109,1
1.772591001,-18854.13612,3.215614678,0.317116459,149.603343,0.744456852,0.354207557,1
365.3085238,-16879.77895,3.341295606,0.310098827,116.4847407,0.716213451,0.337881017,1
184.1346675,-16462.08857,3.465763,0.348567877,142.7115075,0.708975936,0.330475609,1
295.5740062,-15874.34589,3.50882703,0.372423272,72.62580153,0.668981021,0.320634624,1
335.466418,-15232.29954,3.551366104,0.370040772,68.26053044,0.671666232,0.320326157,1
28.31062429,-19274.7976,3.069509982,0.407337046,171.7294894,0.780800322,0.376799079,1
2.027314357,-20315.63224,3.153712604,0.400816185,118.0233652,0.726111874,0.354239237,1
1.93664015,-22110.81249,3.124648402,0.428214471,170.9897211,0.717644052,0.343359146,1
2.183347663,-18982.0608,3.182390155,0.423393529,85.36290577,0.747199641,0.355092129,1
1.975212798,-22186.454,3.10697752,0.511311561,141.2443785,0.721353728,0.344217997,1
2.021403351,-20538.04259,3.064015001,0.341292075,152.5320955,0.728085332,0.350913064,1
306.8523175,-18762.35421,3.232018372,0.335781503,120.566125,0.70409969,0.33483705,1
281.5963134,-17636.38507,3.479030692,0.346661154,144.7754438,0.690418566,0.319629767,1
